Image_Path,Semantic_Label_Path,Image_Label,Image_label
F3_Block/data/train/images/0.png,F3_Block/data/train/labels/0.png,0,0
F3_Block/data/train/images/1.png,F3_Block/data/train/labels/1.png,1,0
F3_Block/data/train/images/10.png,F3_Block/data/train/labels/10.png,10,0
F3_Block/data/train/images/100.png,F3_Block/data/train/labels/100.png,100,1
F3_Block/data/train/images/101.png,F3_Block/data/train/labels/101.png,101,1
F3_Block/data/train/images/102.png,F3_Block/data/train/labels/102.png,102,1
F3_Block/data/train/images/103.png,F3_Block/data/train/labels/103.png,103,1
F3_Block/data/train/images/104.png,F3_Block/data/train/labels/104.png,104,1
F3_Block/data/train/images/105.png,F3_Block/data/train/labels/105.png,105,1
F3_Block/data/train/images/106.png,F3_Block/data/train/labels/106.png,106,1
F3_Block/data/train/images/107.png,F3_Block/data/train/labels/107.png,107,1
F3_Block/data/train/images/108.png,F3_Block/data/train/labels/108.png,108,1
F3_Block/data/train/images/109.png,F3_Block/data/train/labels/109.png,109,1
F3_Block/data/train/images/11.png,F3_Block/data/train/labels/11.png,11,0
F3_Block/data/train/images/110.png,F3_Block/data/train/labels/110.png,110,1
F3_Block/data/train/images/111.png,F3_Block/data/train/labels/111.png,111,1
F3_Block/data/train/images/112.png,F3_Block/data/train/labels/112.png,112,1
F3_Block/data/train/images/113.png,F3_Block/data/train/labels/113.png,113,1
F3_Block/data/train/images/114.png,F3_Block/data/train/labels/114.png,114,1
F3_Block/data/train/images/115.png,F3_Block/data/train/labels/115.png,115,1
F3_Block/data/train/images/270.png,F3_Block/data/train/labels/270.png,270,3
F3_Block/data/train/images/271.png,F3_Block/data/train/labels/271.png,271,3
F3_Block/data/train/images/272.png,F3_Block/data/train/labels/272.png,272,3
F3_Block/data/train/images/273.png,F3_Block/data/train/labels/273.png,273,3
F3_Block/data/train/images/274.png,F3_Block/data/train/labels/274.png,274,3
F3_Block/data/train/images/275.png,F3_Block/data/train/labels/275.png,275,3
F3_Block/data/train/images/276.png,F3_Block/data/train/labels/276.png,276,3
F3_Block/data/train/images/277.png,F3_Block/data/train/labels/277.png,277,3
F3_Block/data/train/images/278.png,F3_Block/data/train/labels/278.png,278,3
F3_Block/data/train/images/279.png,F3_Block/data/train/labels/279.png,279,3
F3_Block/data/train/images/28.png,F3_Block/data/train/labels/28.png,28,0
F3_Block/data/train/images/280.png,F3_Block/data/train/labels/280.png,280,3
